"","x"
"1",350
"2",190
"3",245
"4",225
"5",325
"6",670
"7",260
"8",170
"9",260
"10",300
"11",260
"12",260
"13",200
"14",290
"15",300
"16",290
"17",240
"18",230
"19",260
"20",300
"21",175
"22",195
"23",170
"24",265
"25",300
"26",280
"27",260
"28",310
"29",270
"30",230
"31",260
"32",260
"33",405
"34",270
"35",225
"36",175
"37",260
"38",210
"39",300
"40",170
"41",190
"42",300
"43",220
"44",170
"45",310
"46",180
"47",260
"48",245
"49",245
"50",270
"51",205
"52",230
"53",230
"54",170
"55",390
"56",260
"57",245
"58",260
"59",260
"60",230
"61",265
"62",420
"63",285
"64",280
"65",230
"66",300
"67",200
"68",230
"69",290
"70",190
"71",200
"72",275
"73",260
"74",300
"75",170
"76",340
"77",310
"78",345
"79",200
"80",230
"81",265
"82",270
"83",260
"84",365
"85",380
"86",220
"87",220
"88",330
"89",265
"90",205
"91",325
"92",270
"93",310
"94",300
"95",370
"96",290
"97",230
"98",180
"99",300
"100",225
"101",200
"102",245
"103",260
"104",225
"105",290
"106",360
"107",260
"108",230
"109",370
"110",270
"111",270
"112",175
"113",260
"114",245
"115",315
"116",190
"117",270
"118",345
"119",260
"120",350
"121",275
"122",260
"123",270
"124",300
"125",260
"126",230
"127",215
"128",195
"129",405
"130",365
"131",260
"132",270
"133",260
"134",260
"135",230
"136",180
"137",310
"138",370
"139",320
"140",205
"141",300
"142",200
"143",320
"144",230
"145",210
"146",195
"147",260
"148",350
"149",585
"150",425
"151",285
"152",245
"153",220
"154",380
"155",180
"156",260
"157",270
"158",230
"159",230
"160",270
"161",405
"162",350
"163",200
"164",200
"165",310
"166",190
"167",200
"168",200
"169",275
"170",225
"171",195
"172",390
"173",275
"174",390
"175",245
"176",350
"177",285
"178",270
"179",300
"180",260
"181",270
"182",280
"183",230
"184",285
"185",280
"186",175
"187",300
"188",260
"189",230
"190",230
"191",200
"192",260
"193",260
"194",215
"195",215
"196",200
"197",285
"198",350
"199",320
"200",300
"201",225
"202",225
"203",260
"204",270
"205",190
"206",270
"207",170
"208",270
"209",265
"210",260
"211",270
"212",320
"213",385
"214",180
"215",170
"216",230
"217",330
"218",185
"219",190
"220",180
"221",205
"222",190
"223",260
"224",370
"225",230
"226",265
"227",230
"228",300
"229",385
"230",230
"231",260
"232",300
"233",450
"234",390
"235",360
"236",385
"237",200
"238",380
"239",230
"240",260
"241",260
"242",270
"243",230
"244",200
"245",195
"246",410
"247",260
"248",270
"249",180
"250",290
"251",290
"252",350
"253",215
"254",265
"255",195
"256",450
"257",260
"258",320
"259",340
"260",200
"261",185
"262",320
"263",230
"264",290
"265",300
"266",260
"267",260
"268",270
"269",310
"270",380
"271",230
"272",270
"273",280
"274",300
"275",270
"276",275
"277",230
"278",290
"279",260
"280",265
"281",170
"282",185
"283",350
"284",230
"285",230
"286",225
"287",195
"288",230
"289",260
"290",350
"291",260
"292",220
"293",215
"294",270
"295",260
"296",350
"297",215
"298",220
"299",185
"300",260
"301",230
"302",450
"303",260
"304",300
"305",310
"306",310
"307",200
"308",270
"309",260
"310",350
"311",300
"312",320
"313",275
"314",175
"315",180
"316",170
"317",220
"318",375
"319",230
"320",270
"321",300
"322",185
"323",215
"324",200
"325",260
"326",300
"327",230
"328",390
"329",270
"330",260
"331",350
"332",230
"333",270
"334",260
"335",270
"336",200
"337",330
"338",175
"339",175
"340",200
"341",265
"342",265
"343",325
"344",350
"345",380
"346",175
"347",260
"348",380
"349",195
"350",375
"351",270
"352",280
"353",300
"354",205
"355",230
"356",280
"357",270
"358",420
"359",275
"360",260
"361",260
"362",295
"363",270
"364",190
"365",225
"366",230
"367",230
"368",280
"369",300
"370",210
"371",280
"372",450
"373",360
"374",230
"375",260
"376",240
"377",300
"378",300
"379",200
"380",215
"381",260
"382",300
"383",260
"384",300
"385",320
"386",350
"387",200
"388",275
"389",275
"390",275
"391",530
"392",245
"393",275
"394",300
"395",270
"396",260
"397",420
"398",265
"399",350
"400",200
"401",230
"402",350
"403",260
"404",330
"405",285
"406",165
"407",300
"408",260
"409",190
"410",260
"411",380
"412",270
"413",270
"414",270
"415",280
"416",260
"417",290
"418",285
"419",225
"420",230
"421",260
"422",290
"423",180
"424",260
"425",230
"426",265
"427",180
"428",210
"429",270
"430",275
"431",265
"432",345
"433",260
"434",200
"435",200
"436",265
"437",260
"438",265
"439",260
"440",170
"441",300
"442",200
"443",230
"444",175
"445",260
"446",300
"447",300
"448",350
"449",270
"450",215
"451",270
"452",385
"453",420
"454",270
"455",300
"456",275
"457",220
"458",290
"459",215
"460",260
"461",230
"462",320
"463",230
"464",340
"465",260
"466",260
"467",300
"468",175
"469",375
"470",300
"471",190
"472",300
"473",390
"474",410
"475",180
"476",230
"477",275
"478",320
"479",210
"480",290
"481",230
"482",300
"483",190
"484",300
"485",230
"486",320
"487",260
"488",260
"489",350
"490",270
"491",300
"492",270
"493",320
"494",270
"495",200
"496",260
"497",260
"498",175
"499",275
"500",280
"501",310
"502",425
"503",220
"504",260
"505",285
"506",415
"507",225
"508",225
"509",350
"510",325
"511",260
"512",225
"513",300
"514",260
"515",270
"516",280
"517",270
"518",265
"519",260
"520",270
"521",270
"522",260
"523",325
"524",340
"525",280
"526",245
"527",300
"528",190
"529",300
"530",260
"531",210
"532",420
"533",170
"534",200
"535",295
"536",260
"537",260
"538",260
"539",190
"540",260
"541",290
"542",230
"543",350
"544",230
"545",260
"546",270
"547",470
"548",265
"549",200
"550",415
"551",350
"552",260
"553",280
"554",360
"555",270
"556",300
"557",290
"558",270
"559",200
"560",200
"561",350
"562",200
"563",275
"564",260
"565",260
"566",195
"567",225
"568",230
"569",390
"570",270
"571",170
"572",260
"573",180
"574",230
"575",260
"576",230
"577",260
"578",300
"579",185
"580",180
"581",245
"582",270
"583",380
"584",270
"585",350
"586",245
"587",200
"588",295
"589",270
"590",405
"591",320
"592",300
"593",170
"594",260
"595",270
"596",295
"597",470
"598",350
"599",260
"600",170
"601",230
"602",230
"603",260
"604",200
"605",300
"606",260
"607",200
"608",200
"609",280
"610",260
"611",190
"612",350
"613",175
"614",290
"615",190
"616",195
"617",390
"618",310
"619",300
"620",420
"621",260
"622",230
"623",260
"624",620
"625",300
"626",195
"627",205
"628",280
"629",225
"630",210
"631",230
"632",270
"633",280
"634",210
"635",300
"636",270
"637",290
"638",230
"639",275
"640",350
"641",260
"642",260
"643",195
"644",260
"645",390
"646",220
"647",230
"648",270
"649",260
"650",270
"651",205
"652",300
"653",230
"654",220
"655",265
"656",230
"657",190
"658",220
"659",390
"660",215
"661",230
"662",260
"663",320
"664",270
"665",300
"666",300
"667",260
"668",320
"669",215
"670",260
"671",450
"672",280
"673",170
"674",350
"675",320
"676",330
"677",215
"678",260
"679",335
"680",225
"681",285
"682",260
"683",190
"684",350
"685",265
"686",200
"687",360
"688",170
"689",270
"690",350
"691",405
"692",380
"693",345
"694",170
"695",260
"696",260
"697",225
"698",330
"699",225
"700",175
"701",260
"702",260
"703",200
"704",260
"705",180
"706",490
"707",300
"708",360
"709",185
"710",300
"711",385
"712",380
"713",265
"714",260
"715",230
"716",200
"717",355
"718",300
"719",205
"720",225
"721",300
"722",185
"723",340
"724",325
"725",190
"726",300
"727",245
"728",350
"729",290
"730",320
"731",355
"732",170
"733",205
"734",420
"735",310
"736",170
"737",185
"738",260
"739",365
"740",260
"741",200
"742",180
"743",300
"744",260
"745",345
"746",200
"747",300
"748",260
"749",260
"750",320
"751",300
"752",260
"753",245
"754",200
"755",210
"756",380
"757",200
"758",260
"759",275
"760",170
"761",330
"762",215
"763",380
"764",190
"765",175
"766",190
"767",275
"768",200
"769",260
"770",245
"771",415
"772",270
"773",300
"774",320
"775",260
"776",270
"777",345
"778",300
"779",185
"780",260
"781",260
"782",355
"783",210
"784",270
"785",295
"786",215
"787",300
"788",200
"789",185
"790",270
"791",310
"792",280
"793",220
"794",200
"795",270
"796",230
"797",290
"798",310
"799",300
"800",345
"801",350
"802",390
"803",300
"804",260
"805",260
"806",320
"807",195
"808",225
"809",320
"810",245
"811",260
"812",175
"813",225
"814",430
"815",345
"816",265
"817",170
"818",230
"819",365
"820",290
"821",175
"822",260
"823",270
"824",265
"825",170
"826",170
"827",215
"828",230
"829",300
"830",300
"831",290
"832",170
"833",270
"834",270
"835",300
"836",230
"837",550
"838",290
"839",260
"840",190
"841",270
"842",260
"843",320
"844",190
"845",280
"846",350
"847",270
"848",185
"849",190
"850",260
"851",300
"852",180
"853",245
"854",215
"855",340
"856",380
"857",200
"858",390
"859",365
"860",700
"861",245
"862",300
"863",375
"864",440
"865",200
"866",310
"867",260
"868",325
"869",320
"870",360
"871",205
"872",350
"873",300
"874",500
"875",245
"876",355
"877",350
"878",380
"879",295
"880",260
"881",280
"882",170
"883",300
"884",260
"885",350
"886",320
"887",425
"888",450
"889",300
"890",265
"891",290
"892",410
"893",450
"894",370
"895",270
"896",390
"897",260
"898",405
"899",220
"900",280
"901",390
"902",340
"903",405
"904",510
"905",295
"906",220
"907",450
"908",405
"909",270
"910",220
"911",390
"912",325
"913",420
"914",310
"915",265
"916",275
"917",380
"918",230
"919",270
"920",360
"921",295
"922",405
"923",350
"924",280
"925",385
"926",410
"927",270
"928",320
"929",360
"930",380
"931",390
"932",320
"933",380
"934",270
"935",390
"936",260
"937",300
"938",350
"939",320
"940",385
"941",385
"942",290
"943",340
"944",265
"945",670
"946",200
"947",350
"948",300
"949",300
"950",280
"951",350
"952",270
"953",390
"954",360
"955",260
"956",350
"957",270
"958",620
"959",370
"960",175
"961",295
"962",450
"963",300
"964",285
"965",405
"966",280
"967",270
"968",390
"969",260
"970",550
"971",320
"972",230
"973",585
"974",415
"975",290
"976",185
"977",380
"978",435
"979",285
"980",200
"981",385
"982",700
"983",450
"984",405
"985",215
"986",350
"987",410
"988",400
"989",365
"990",350
"991",450
"992",175
"993",205
"994",230
"995",405
"996",325
"997",415
"998",190
"999",450
"1000",260
"1001",170
"1002",385
"1003",295
"1004",320
"1005",190
"1006",370
"1007",390
"1008",420
"1009",245
"1010",470
"1011",350
"1012",425
"1013",410
"1014",345
"1015",390
"1016",410
"1017",640
"1018",490
"1019",450
"1020",490
"1021",425
"1022",405
"1023",245
"1024",290
"1025",295
"1026",450
"1027",380
"1028",190
"1029",170
"1030",260
"1031",190
"1032",345
"1033",290
"1034",550
"1035",350
"1036",200
"1037",365
"1038",300
"1039",225
"1040",500
"1041",170
"1042",265
"1043",360
"1044",385
"1045",380
"1046",270
"1047",180
"1048",300
"1049",425
"1050",380
"1051",275
"1052",265
"1053",190
"1054",175
"1055",260
"1056",180
"1057",300
"1058",190
"1059",380
"1060",320
"1061",405
"1062",550
"1063",230
"1064",260
"1065",245
"1066",380
"1067",170
"1068",300
"1069",195
"1070",350
"1071",450
"1072",245
"1073",260
"1074",270
"1075",385
"1076",260
"1077",425
"1078",260
"1079",400
"1080",450
"1081",300
"1082",230
"1083",380
"1084",530
"1085",450
"1086",435
"1087",390
"1088",350
"1089",345
"1090",310
"1091",415
"1092",360
"1093",230
"1094",320
"1095",300
"1096",350
"1097",260
"1098",320
"1099",360
"1100",350
"1101",320
"1102",200
"1103",350
"1104",290
"1105",370
"1106",550
"1107",350
"1108",415
"1109",310
"1110",380
"1111",470
"1112",350
"1113",230
"1114",310
"1115",405
"1116",350
"1117",260
"1118",390
"1119",320
"1120",190
"1121",300
"1122",380
"1123",350
"1124",440
"1125",320
"1126",260
"1127",170
"1128",260
"1129",390
"1130",265
"1131",400
"1132",210
"1133",450
"1134",360
"1135",405
"1136",410
"1137",275
"1138",350
"1139",200
"1140",295
"1141",260
"1142",415
"1143",450
"1144",620
"1145",405
"1146",225
"1147",450
"1148",270
"1149",245
"1150",390
"1151",380
"1152",230
"1153",260
"1154",425
"1155",300
"1156",220
"1157",365
"1158",320
"1159",170
"1160",345
"1161",405
"1162",200
"1163",550
"1164",265
"1165",410
"1166",405
"1167",450
"1168",380
"1169",470
"1170",550
"1171",300
"1172",260
"1173",260
"1174",230
"1175",400
"1176",260
"1177",360
"1178",450
"1179",450
"1180",365
"1181",420
"1182",620
"1183",260
"1184",270
"1185",310
"1186",225
"1187",350
"1188",290
"1189",260
"1190",430
"1191",200
"1192",280
"1193",350
"1194",380
"1195",260
"1196",410
"1197",390
"1198",380
"1199",260
"1200",190
"1201",550
"1202",350
"1203",210
"1204",320
"1205",345
"1206",325
"1207",300
"1208",385
"1209",260
"1210",230
"1211",230
"1212",265
"1213",365
"1214",550
"1215",260
"1216",400
"1217",175
"1218",345
"1219",350
"1220",380
"1221",415
"1222",380
"1223",530
"1224",340
"1225",220
"1226",365
"1227",365
"1228",355
"1229",170
"1230",200
"1231",190
"1232",385
"1233",350
"1234",300
"1235",550
"1236",245
"1237",340
"1238",290
"1239",415
"1240",550
"1241",370
"1242",360
"1243",335
"1244",175
"1245",270
"1246",350
"1247",260
"1248",200
"1249",300
"1250",285
"1251",220
"1252",190
"1253",310
"1254",360
"1255",360
"1256",375
"1257",260
"1258",300
"1259",270
"1260",550
"1261",390
"1262",415
"1263",300
"1264",330
"1265",365
"1266",285
"1267",390
"1268",520
"1269",450
"1270",260
"1271",270
"1272",380
"1273",245
"1274",230
"1275",450
"1276",260
"1277",260
"1278",620
"1279",300
"1280",425
"1281",350
"1282",425
"1283",270
"1284",300
"1285",390
"1286",300
"1287",280
"1288",385
"1289",360
"1290",330
"1291",370
"1292",620
"1293",265
"1294",245
"1295",260
"1296",350
"1297",260
"1298",380
"1299",420
"1300",390
"1301",220
"1302",245
"1303",215
"1304",375
"1305",240
"1306",245
"1307",510
"1308",360
"1309",345
"1310",410
"1311",300
"1312",360
"1313",330
"1314",380
"1315",275
"1316",320
"1317",450
"1318",290
"1319",345
"1320",310
"1321",185
"1322",585
"1323",385
"1324",370
"1325",380
"1326",345
"1327",400
"1328",275
"1329",350
"1330",190
"1331",700
"1332",425
"1333",350
"1334",290
"1335",380
"1336",270
"1337",245
"1338",320
"1339",520
"1340",295
"1341",385
"1342",350
"1343",700
"1344",220
"1345",640
"1346",585
"1347",270
"1348",380
"1349",355
"1350",370
"1351",405
"1352",295
"1353",195
"1354",260
"1355",215
"1356",320
"1357",300
"1358",260
"1359",435
"1360",330
"1361",260
"1362",260
"1363",360
"1364",190
"1365",345
"1366",450
"1367",260
"1368",470
"1369",230
"1370",175
"1371",260
"1372",220
"1373",410
"1374",230
"1375",370
"1376",200
"1377",290
"1378",350
"1379",260
"1380",220
"1381",415
"1382",425
"1383",185
"1384",230
"1385",450
"1386",215
"1387",290
"1388",340
"1389",260
"1390",390
"1391",425
"1392",290
"1393",260
"1394",290
"1395",400
"1396",285
"1397",405
"1398",260
"1399",260
"1400",170
"1401",170
"1402",510
"1403",275
"1404",215
"1405",260
"1406",490
"1407",285
"1408",300
"1409",270
"1410",300
"1411",450
"1412",550
"1413",190
